uid,ccu,text,monica_validity,sam_validity
2,ccu1,frequency is the inverse of period.,0,1
4,ccu1,Period is the inverse of frequency.,0,1
5,ccu1,Period is the inverse of frequency.,0,1
12,ccu1,Faster waveform,1,0
26,ccu1,frequency is the inverse of period.,0,1
28,ccu1,high freq = higher energy = short period,0,1
35,ccu1,"In the same period of time, the diagram of a have passed more period",1,0
43,ccu1,f = 1/p,0,1
50,ccu1,f=1/T,0,1
61,ccu1,because it has the most wavelengths in the period,1,0
65,ccu1,It occurs more frequently.,1,0
73,ccu1,a has the most waves,1,0
77,ccu1,because T= 1/f0,0,1
85,ccu1,f=1/T,0,1
86,ccu1,f=1/T,0,1
111,ccu2,Harmonic 1 less than harmonic 8,0,1
371,ccu2,peaks close to the centre are for the cosine wave and peaks on the outside are f,0,1
486,ccu2,the amplitude and frequecies modelled by c show the smaller amplitude but larger,0,1
487,ccu2,the amplitude and frequecies modelled by c show the smaller amplitude but larger,0,1
170,ccu3,frequency is double,0,1
177,ccu3,because x2t has a higher frequency but a similar shape to x1t ,0,1
186,ccu3,It has a different frequency so the magnitude would be in a different place on t,1,0
188,ccu3,The frequency of x(2) is higher ,0,1
189,ccu3,The frequency of x(2) is higher ,0,1
193,ccu3,higher frequeny therefore a higher JW,0,1
274,ccu3,higher frequency,0,1
275,ccu3,higher frequency,0,1
301,ccu3,higher frequency,0,1
302,ccu3,higher frequency,0,1
303,ccu3,higher frequency,0,1
318,ccu3,Signal 2 has a higher frequency component,0,1
324,ccu3,higher frequency of signal,0,1
326,ccu3,frequency has increased,0,1
408,ccu3,"double fecuency , same amplitude",1,0
446,ccu3,the frequency is much higher in the second time graph.,0,1
475,ccu3,Frequency is higher at 200Hz assumed.,0,1
476,ccu3,Higher Frequencies,0,1
477,ccu3,Higher Frequency,0,1
483,ccu3,no idea but i reackon cause its changing faster in time domain hence it will be ,1,0
518,ccu3,It's twice as frequent,0,1
