uid,ccuname,time,q1mcr,q1txr,q2mcr,q3mcr,validity,confidence
1,ccu1,27/2/2018 13:01,a,"Signal A has the shortest period so it has the highest frequency. Frequency equals one over the period.",b,d,correct,high
2,ccu1,27/2/2018 13:02,a,"frequency is the inverse of period.",b,d,correct,high
3,ccu1,27/2/2018 13:04,a,"A because it completes the most cycles in the given time window. More cycles per unit time means higher frequency.",c,d,correct,high
4,ccu1,27/2/2018 13:06,a,"Period is the inverse of frequency.",c,d,correct,high
5,ccu1,27/2/2018 13:09,a,"Signal A oscillates fastest. f = 1/T and T is smallest for A.",d,c,correct,high
6,ccu1,27/2/2018 23:21,a,"Because Signal (a) has the shortest period, therefore the greatest frequency (f = 1/T)",b,a,correct,high
7,ccu1,27/2/2018 23:22,a,"the amplitude of the signal is the greatest in (a).",b,a,incorrect,high
8,ccu1,27/2/2018 23:23,a,"this is a random sentence I am typing right now.",b,a,incorrect,low
9,ccu1,27/2/2018 23:25,a,"i like signals.",c,d,incorrect,low
10,ccu1,28/2/2018 9:01,a,"I think its A but not sure? maybe because it looks fastest?",b,d,correct,low
11,ccu1,28/2/2018 9:05,b,"Signal B has the biggest peaks so it must be highest frequency.",c,a,incorrect,high
12,ccu1,28/2/2018 9:08,a,"A has the most oscillations per second which is the definition of frequency.",b,d,correct,high
13,ccu1,28/2/2018 9:12,c,"I think C because it looks smooth and smooth signals are higher frequency.",d,a,incorrect,high
14,ccu1,28/2/2018 9:15,a,"htet",b,c,incorrect,low
15,ccu1,28/2/2018 9:20,d,"D has the largest amplitude swings which means more energy and higher frequency.",c,b,incorrect,high
16,ccu1,28/2/2018 10:01,a,"Picked A. Frequency has something to do with how fast it repeats but I am not confident.",b,d,correct,low
17,ccu1,28/2/2018 10:15,a,"The period of A is the shortest among all four signals. Since f = 1/T the shortest period gives the highest frequency.",c,d,correct,high
18,ccu1,28/2/2018 10:22,b,"B looks like it has the tallest peaks so I went with that one.",d,a,incorrect,low
19,ccu1,28/2/2018 10:30,a,"A completes more full cycles in the same timeframe than the others.",b,c,correct,high
20,ccu1,28/2/2018 10:45,a,"guess",c,d,incorrect,low
21,ccu2,1/3/2018 14:01,b,"The signal is periodic so it can be decomposed into harmonics using the Fourier series. The fundamental frequency is determined by the period.",a,c,correct,high
22,ccu2,1/3/2018 14:05,b,"Fourier series represents periodic signals as sums of sinusoids at integer multiples of the fundamental frequency.",a,d,correct,high
23,ccu2,1/3/2018 14:08,a,"I think the signal is just a single sine wave so it only has one frequency component.",c,d,incorrect,high
24,ccu2,1/3/2018 14:12,b,"Since the signal repeats we can express it as a Fourier series with a DC component plus harmonics.",a,c,correct,high
25,ccu2,1/3/2018 14:15,b,"The period T gives the fundamental frequency f0 = 1/T and the Fourier series builds the signal from harmonics at multiples of f0.",d,c,correct,high
26,ccu2,1/3/2018 14:20,c,"The Fourier series only works for infinite signals so this finite segment cannot be decomposed.",b,a,incorrect,high
27,ccu2,1/3/2018 14:25,d,"I chose D because the signal looks like it has the most harmonics based on how jagged it appears.",a,b,incorrect,low
28,ccu2,1/3/2018 14:30,a,"The signal is aperiodic so the Fourier transform should be used instead of the series.",c,d,incorrect,high
29,ccu2,1/3/2018 14:35,b,"A periodic signal can be expressed as a weighted sum of complex exponentials or equivalently sines and cosines through the Fourier series.",a,c,correct,high
30,ccu2,1/3/2018 14:40,c,"not sure but I think the answer involves integrating the signal and finding where it crosses zero?",b,a,incorrect,low
31,ccu2,1/3/2018 15:01,b,"the coefficients a_n and b_n are found by integrating over one period. They capture the amplitude of each harmonic component.",a,d,correct,high
32,ccu2,1/3/2018 15:10,a,"I just guessed A. I do not really understand Fourier series yet.",c,b,incorrect,low
33,ccu2,1/3/2018 15:15,d,"I think the Fourier series only applies to square waves and this signal is not a square wave.",b,a,incorrect,high
34,ccu2,1/3/2018 15:20,b,"The shape of the signal determines which Fourier coefficients are zero and which are nonzero.",a,c,correct,high
35,ccu2,1/3/2018 15:25,b,"fourier series breaks a periodic signal into sine and cosine parts.",a,d,correct,high
36,ccu3,5/3/2018 10:01,b,"The Fourier transform of a rectangular pulse in time is a sinc function in frequency. The width of the rect determines the width of the sinc.",c,a,correct,high
